X,Y
1482,28.993
1483,34.872
1484,36.437
1485,37.906
1486,38.958
1487,41.696
1488,44.530
1489,44.252
1490,41.613
1491,36.324
1492,31.867
1493,25.166
1494,21.964
1495,22.906
1496,26.904
1497,29.402
1498,30.051
1499,26.270
1500,23.194
1501,20.630
1502,21.379
1503,23.690
1504,25.236
1505,29.131
1506,32.338
1507,41.228
1508,38.441
1509,38.241
1510,42.912
1511,46.625
1512,46.929
1513,44.820
1514,43.404
1515,35.962
1516,30.036
1517,31.789
1518,36.604
1519,34.521
1520,30.542
1521,28.906
1522,26.223
1523,30.897
1524,32.424
1525,35.146
1526,36.989
1527,39.509
1528,39.881
1529,40.377
1530,39.901
1531,39.233
1532,35.448
1533,33.657
1534,38.215
1535,49.280
1536,57.348
1537,57.501
1538,51.599
1539,49.500
1540,49.701
1541,53.636
1542,61.977
1543,76.150
1544,88.553
1545,91.948
1546,89.667
1547,74.466
1548,79.665
1549,84.038
1550,83.675
1551,78.836
1552,73.069
1553,70.821
1554,70.456
1555,73.046
1556,65.392
1557,57.950
1558,47.930
1559,35.769
1560,30.115
1561,26.838
1562,21.143
1563,26.909
1564,23.964
1565,22.663
1566,24.393
1567,26.391
1568,26.343
1569,21.419
1570,17.358
1571,16.133
1572,18.802
1573,27.944
1574,38.776
1575,44.365
1576,45.917
1577,48.860
1578,53.215
1579,51.230
1580,52.067
1581,52.683
1582,49.587
1583,42.484
1584,33.677
1585,25.968
1586,21.715
1587,29.339
1588,31.015
1589,32.245
1590,32.998
1591,36.461
1592,39.755
1593,40.594
1594,37.568
1595,35.763
1596,32.379
1597,26.000
